	state	num
0	Alabama	0
1	Alaska	0
2	Arizona	0
3	Arkansas	1
4	California	2
5	Colorado	0
6	Connecticut	0
7	Delaware	0
8	Florida	0
9	Georgia	1
10	Hawaii	0
11	Idaho	0
12	Illinois	3
13	Indiana	1
14	Iowa	0
15	Kansas	0
16	Kentucky	0
17	Louisiana	1
18	Maine	0
19	Maryland	0
20	Massachusetts	4
21	Michigan	1
22	Minnesota	0
23	Mississippi	0
24	Missouri	1
25	Montana	0
26	Nebraska	0
27	Nevada	0
28	New Hampshire	1
29	New Jersey	1
30	New Mexico	0
31	New York	9
32	North Carolina	0
33	North Dakota	0
34	Ohio	6
35	Oklahoma	0
36	Oregon	0
37	Pennsylvania	1
38	Rhode Island	0
39	South Carolina	0
40	South Dakota	0
41	Tennessee	3
42	Texas	3
43	Utah	0
44	Vermont	0
45	Virginia	5
46	Washington	0
47	West Virginia	0
48	Wisconsin	0
49	Wyoming	0
