State,No. of Presidents
Alabama,0
Alaska,0
Arizona,0
Arkansas,1
California,2
Colorado,0
Connecticut,0
Delaware,0
Florida,0
Georgia,1
Hawaii,0
Idaho,0
Illinois,3
Indiana,1
Iowa,0
Kansas,0
Kentucky,0
Louisiana,1
Maine,0
Maryland,0
Massachusetts,4
Michigan,1
Minnesota,0
Mississippi,0
Missouri,1
Montana,0
Nebraska,0
Nevada,0
New Hampshire,1
New Jersey,1
New Mexico,0
New York,9
North Carolina,0
North Dakota,0
Ohio,6
Oklahoma,0
Oregon,0
Pennsylvania,1
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,3
Texas,3
Utah,0
Vermont,0
Virginia,5
Washington,0
West Virginia,0
Wisconsin,0
Wyoming,0
